SubjectID,TrialNumber,Choice,ChoiceLabel,PlayChoice,ReactionTime,Card1,Card2,Card3,Card4,Card5,Card6,ExpectedValue,StandardDev,Condition,HighRT
22,95,2,Play,1,3.7846,7,8,-7,0,0,0,2.666666667,8.386497084,3,1
22,42,2,Play,1,1.2072,3,5,-1,0,0,0,2.333333333,3.055050463,3,0
22,94,2,Play,1,1.2228,8,-6,-7,0,0,0,-1.666666667,8.386497084,3,1
22,32,2,Play,1,0.9921,4,6,6,0,0,0,5.333333333,1.154700538,3,0
22,47,2,Play,1,1.038,-4,1,2,0,0,0,-0.333333333,3.214550254,3,0
22,94,2,Play,1,1.0411,3,9,8,0,0,0,6.666666667,3.214550254,3,1
22,91,2,Play,1,1.0723,-9,6,-1,0,0,0,-1.333333333,7.505553499,3,1
22,91,2,Play,1,1.106,-8,4,-9,0,0,0,-4.333333333,7.234178138,3,1
22,32,2,Play,1,0.8964,3,-7,4,2,6,6,2.333333333,4.844240567,6,0
22,10,2,Play,1,0.9069,-7,-8,5,0,0,0,-3.333333333,7.234178138,3,0
22,95,2,Play,1,0.8718,8,-9,7,0,0,0,2,9.539392014,3,1
22,91,2,Play,1,1.1999,6,-8,-1,0,0,0,-1,7,3,1
22,97,2,Play,1,2.036,2,-7,-5,0,0,0,-3.333333333,4.725815626,3,1
22,10,1,Pass,0,1.6052,-8,-2,-7,0,0,0,-5.666666667,3.214550254,3,0
22,97,2,Play,1,1.6702,-8,2,-5,0,0,0,-3.666666667,5.131601439,3,1
22,97,2,Play,1,2.7568,2,8,9,0,0,0,6.333333333,3.785938897,3,1
22,10,2,Play,1,1.6722,-2,-7,5,0,0,0,-1.333333333,6.027713773,3,0
22,42,2,Play,1,1.3889,5,-1,5,3,3,-4,1.833333333,3.600925807,6,0
22,47,1,Pass,0,1.8048,-2,1,-3,0,0,0,-1.333333333,2.081665999,3,0
22,32,2,Play,1,0.9919,2,4,6,0,0,0,4,2,3,0
22,97,2,Play,1,0.958,9,-5,-8,0,0,0,-1.333333333,9.073771726,3,1
22,42,2,Play,1,1.0217,5,3,5,0,0,0,4.333333333,1.154700538,3,0
22,97,2,Play,1,1.072,2,-7,-8,0,0,0,-4.333333333,5.507570547,3,1
22,32,2,Play,1,1.522,6,4,3,0,0,0,4.333333333,1.527525232,3,0
22,97,2,Play,1,0.9567,-7,-8,8,0,0,0,-2.333333333,8.96288644,3,1
22,95,2,Play,1,1.0702,8,7,-9,-3,8,-7,0.666666667,7.916228058,6,1
22,42,2,Play,1,1.2264,5,3,3,0,0,0,3.666666667,1.154700538,3,0
22,42,2,Play,1,2.0044,5,5,3,0,0,0,4.333333333,1.154700538,3,0
22,94,2,Play,1,6.5502,9,-9,8,0,0,0,2.666666667,10.11599394,3,1
22,32,2,Play,1,0.9917,3,6,-7,0,0,0,0.666666667,6.806859286,3,0
22,91,2,Play,1,0.8414,-1,9,6,0,0,0,4.666666667,5.131601439,3,1
22,47,1,Pass,0,1.6786,-3,-4,-2,0,0,0,-3,1,3,0
22,94,2,Play,1,1.073,8,-7,-9,-6,3,9,-0.333333333,7.991662322,6,1
22,42,2,Play,1,0.9911,5,-4,3,0,0,0,1.333333333,4.725815626,3,0
22,42,2,Play,1,0.8088,5,-1,3,0,0,0,2.333333333,3.055050463,3,0
22,47,1,Pass,0,2.0272,-3,-4,2,0,0,0,-1.666666667,3.214550254,3,0
22,91,2,Play,1,1.2714,9,-8,4,0,0,0,1.666666667,8.736894948,3,1
22,47,2,Play,1,1.0056,-4,-2,-3,-4,1,2,-1.666666667,2.581988897,6,0
22,10,2,Play,1,3.1871,5,4,-7,0,0,0,0.666666667,6.658328118,3,0
22,95,2,Play,1,0.7255,8,8,-9,0,0,0,2.333333333,9.814954576,3,1
22,42,2,Play,1,3.155,-1,3,5,0,0,0,2.333333333,3.055050463,3,0
22,32,2,Play,1,1.0727,-7,2,6,0,0,0,0.333333333,6.658328118,3,0
22,91,2,Play,1,1.3893,-9,-8,9,0,0,0,-2.666666667,10.11599394,3,1
22,97,2,Play,1,2.0068,9,8,-8,0,0,0,3,9.539392014,3,1
22,47,1,Pass,0,2.6206,-4,-3,-4,0,0,0,-3.666666667,0.577350269,3,0
22,42,2,Play,1,1.2925,3,3,-1,0,0,0,1.666666667,2.309401077,3,0
22,91,2,Play,1,1.0734,-8,6,4,0,0,0,0.666666667,7.571877794,3,1
22,97,2,Play,1,1.0399,-7,8,-5,0,0,0,-1.333333333,8.144527815,3,1
22,95,2,Play,1,5.7825,-9,8,-3,0,0,0,-1.333333333,8.621678104,3,1
22,95,2,Play,1,5.8997,-3,-7,8,0,0,0,-0.666666667,7.767453465,3,1
22,95,2,Play,1,1.9754,-3,-7,7,0,0,0,-1,7.211102551,3,1
22,42,2,Play,1,1.9225,-4,5,3,0,0,0,1.333333333,4.725815626,3,0
22,10,2,Play,1,1.0907,-2,-7,4,0,0,0,-1.666666667,5.507570547,3,0
22,91,2,Play,1,1.2569,4,9,-1,0,0,0,4,5,3,1
22,10,2,Play,1,1.4201,4,-6,-8,0,0,0,-3.333333333,6.429100507,3,0
22,97,2,Play,1,1.1732,-8,9,-7,0,0,0,-2,9.539392014,3,1
22,97,2,Play,1,1.4897,8,9,-7,0,0,0,3.333333333,8.96288644,3,1
22,91,2,Play,1,0.7559,9,-9,-1,0,0,0,-0.333333333,9.018499506,3,1
22,10,2,Play,1,0.9562,-8,-6,5,0,0,0,-3,7,3,0
22,94,2,Play,1,0.6752,-6,-9,8,0,0,0,-2.333333333,9.073771726,3,1
22,10,1,Pass,0,1.7918,-7,-2,-6,0,0,0,-5,2.645751311,3,0
22,10,2,Play,1,1.2704,-2,5,-6,0,0,0,-1,5.567764363,3,0
22,47,2,Play,1,1.1755,2,-4,-4,0,0,0,-2,3.464101615,3,0
22,94,2,Play,1,2.3093,-9,3,-7,0,0,0,-4.333333333,6.429100507,3,1
22,32,2,Play,1,1.2873,2,6,-7,0,0,0,0.333333333,6.658328118,3,0
22,32,2,Play,1,1.4998,2,-7,3,0,0,0,-0.666666667,5.507570547,3,0
22,95,2,Play,1,1.1408,7,-3,-9,0,0,0,-1.666666667,8.082903769,3,1
