SubNum,TrialNumber,Card1,Card2,Card3,Card4,Card5,Card6,EV,std,infoS,infoValue,infoS_normalized
9266,86,8,-9,-8,-5,4,9,-0.166666666666667,8.13428956127495,1.44212963,1.35,0.606675845908997
9266,56,-4,-2,-5,5,-8,-7,-3.5,4.67974358271904,0.877314815,0,-0.959601862542894
9266,80,3,-1,-7,-5,2,-2,-1.66666666666667,3.8815804341359,1.203703704,0.116666667,-0.0544987605162966
9266,37,-5,-8,-6,2,-8,-1,-4.33333333333333,4.03319558993445,1.467592593,0,0.677286726287613
9266,60,6,-4,2,5,-5,-8,-0.666666666666667,5.7850381733111,1.467592593,0.683333333,0.677286726287613
9266,31,-4,-8,1,9,-9,-1,-2,6.6332495807108,0.712962963,0.366666667,-1.41536299928005
9266,72,-2,5,3,7,-9,1,0.833333333333333,5.74166061925177,1.49537037,0.633333333,0.754316775340855
9266,29,-1,1,1,5,5,6,2.83333333333333,2.85773803324704,1.300925926,0,0.215106418102754
9266,66,-1,-3,-7,7,2,-4,-1,4.93963561409139,0.821759259,0.433333333,-1.11366196619554
9266,23,2,-6,5,3,-1,-3,0,4.09878030638384,1.405092593,0.7,0.503969111064926
9266,5,6,-8,6,-1,5,5,2.16666666666667,5.63619256827396,1.37962963,0.233333333,0.43335823068631
9266,55,-7,6,8,-3,-8,-9,-2.16666666666667,7.41395081361258,1.479166667,0.483333333,0.709382580753068
9266,91,6,-9,9,-8,4,-1,0.166666666666667,7.46770826068257,0.733796296,1.15,-1.35759046179684
9266,24,2,-6,-3,3,7,-6,-0.5,5.31977443130815,0.157407407,0.683333333,-2.95596402471419
9266,28,3,-5,-2,-9,9,5,0.166666666666667,6.70571895225759,1.293981481,1.066666667,0.195848903759632
9266,87,4,9,-9,9,-9,-5,-0.166666666666667,8.54205283679905,1.488425926,1.416666667,0.735059263770815
9266,69,8,7,-3,-1,-6,1,1,5.54977477020464,1.456018519,0.5,0.645190871822159
9266,54,4,6,7,5,4,1,4.5,2.07364413533277,1.428240741,0,0.568160819995835
9266,25,-1,7,3,4,2,5,3.33333333333333,2.73252020425589,0.87962963,0,-0.953182691095186
9266,4,-9,8,-9,7,-2,-9,-2.33333333333333,8.09114742583935,1.481481481,0.516666667,0.715801749427693
9266,14,6,1,-5,-3,-5,8,0.333333333333333,5.64505683467108,0.756944444,0.766666667,-1.29339875286593
9266,67,5,4,9,4,-4,-8,1.66666666666667,6.34560215162176,0.141203704,0.433333333,-3.00089821930198
9266,9,-4,-5,-1,-1,-8,-1,-3.33333333333333,2.87518115371304,1.277777778,0,0.150914709171845
9266,48,-5,-2,1,-3,-8,7,-1.66666666666667,5.20256347070045,1.189814815,0.266666667,-0.0930137864294583
9266,68,9,-3,6,-1,8,7,4.33333333333333,5.04645089807348,1.493055556,0,0.74789760666623
9266,8,2,4,8,-3,-8,5,1.33333333333333,5.85377371160405,1.49537037,0.466666667,0.754316775340855
9266,76,2,3,-3,-1,-5,-3,-1.16666666666667,3.12516666222246,0.800925926,0.133333333,-1.17143450367874
9266,33,-8,1,6,1,-2,1,-0.166666666666667,4.62240918425302,1.476851852,0.7,0.70296340930536
9266,12,-7,-2,-8,-8,-6,9,-3.66666666666667,6.59292550137393,0.782407407,0.016666667,-1.22278787248732
9266,16,-8,6,4,5,7,5,3.16666666666667,5.56477013601341,1.305555556,0,0.227944760998169
9266,70,-5,2,1,7,-3,6,1.33333333333333,4.76095228569523,1.486111111,0.3,0.728640092323108
9266,64,6,3,4,-7,-2,-3,0.166666666666667,4.9564772436345,0.912037037,0.766666667,-0.86331429914653
9266,95,8,7,-9,-3,8,-7,0.666666666666667,7.91622805802528,1.381944444,1.066666667,0.439777399360935
9266,38,4,7,-4,6,8,-9,2,6.89927532426414,0.898148148,0.45,-0.901829325059692
9266,51,2,-2,2,-6,-3,-8,-2.5,4.08656334834051,0.99537037,0.05,-0.632224146440642
9266,21,-7,8,-4,-1,-1,-6,-1.83333333333333,5.41910201663215,1.486111111,0.233333333,0.728640092323108
9266,18,-7,1,8,1,-1,-5,-0.5,5.2820450584977,1.5,0.683333333,0.767155118236269
9266,75,9,-8,-8,1,5,4,0.5,7.06399320497974,1.483796296,0.916666667,0.7222209208754
9266,88,9,-1,1,8,-9,-9,-0.166666666666667,7.85917722580848,1.5,1.15,0.767155118236269
9266,62,9,2,9,1,-4,-1,2.66666666666667,5.3166405433005,0.8125,0.133333333,-1.13933864921329
