SubNum,trialNumber,originalTrial,infoNorm,infoValue,choice,randNum,trialEV,trialVar,Card1,Card2,Card3,Card4,Card5,Card6,newCard1,newCard2,newCard3,newCard4,newCard5,newCard6
183,9,835,0,0,1,0.646645623,4.166666667,6.177917664,4,6,-8,7,9,7,4,999,-8,7,999,999
183,10,971,0.216666667,0,1,0.464905715,-2.333333333,5.715476066,6,-9,3,-5,-3,-6,6,999,999,999,-3,-6
183,11,1260,0.75,1.078776042,2,1.235705816,0.833333333,6.911343333,3,8,2,-9,7,-6,999,999,2,-9,999,-6
183,12,1392,0.016666667,0,1,0.833211923,-2.5,3.449637662,-6,-1,-5,3,-5,-1,-6,999,999,3,-5,999
183,13,1946,0.566666667,1.19921875,1,1.052361073,-1,6.033241252,4,5,1,-9,-8,1,999,999,1,-9,999,1
183,14,2547,0.4,1.274088542,2,0.133980711,1.166666667,5.231315959,6,2,-2,-6,-1,8,999,2,-2,999,999,8
183,15,2564,0.083333333,0.96484375,2,1.064646493,2.333333333,4.457203907,2,-3,-3,5,6,7,999,999,-3,999,6,7
183,16,3486,0.016666667,0,1,1.404130105,-3.5,4.929503018,-7,-7,-8,-4,1,4,999,999,999,-4,1,4
183,17,4063,0.216666667,0.548177083,2,1.457611532,2,5.253570215,-4,-4,6,3,9,2,999,-4,6,999,999,2
183,18,4724,0.9,0.753255208,1,1.09882162,0,5.403702434,6,7,-7,-2,-2,-2,999,7,-7,999,-2,999
183,19,5030,0.366666667,0,1,1.116221773,-2.333333333,6.801960502,-8,-9,7,-3,-6,5,999,-9,999,-3,999,5
183,20,6647,0.466666667,0.994140625,2,0.029469795,1.5,6.188699379,5,9,-1,1,4,-9,999,999,-1,1,4,999
183,21,6807,0.133333333,0,1,0.40997317,-2.833333333,6.400520812,-9,-7,9,-1,-4,-5,999,999,9,-1,-4,999
183,22,7596,0.666666667,0.014322917,1,1.462786684,-1,6.511528238,-8,3,4,-8,-4,7,-8,3,999,999,-4,999
183,23,8423,0.1,0.740234375,1,0.037028068,-2.833333333,5.192943931,-9,3,-6,-4,4,-5,999,3,-6,999,999,-5
183,24,9005,0.3,0.421223958,1,0.517536998,-1,4,-4,-4,6,-1,1,-4,999,999,6,-1,1,999
183,25,9285,0.466666667,1.27734375,1,0.761762223,-1.666666667,6.683312552,-6,8,-9,1,-7,3,999,999,-9,1,999,3
183,26,9368,0.266666667,0.460286458,1,0.094594661,-1.666666667,5.202563471,2,-5,-9,1,5,-4,2,-5,999,999,999,-4
183,27,9370,0.433333333,1.114583333,2,0.009632748,1.666666667,6.408327915,8,7,-6,6,-6,1,8,999,-6,999,999,1
183,28,10988,0.4,1.176432292,1,0.893934633,0.5,3.391164992,1,-6,1,1,4,2,999,-6,1,999,4,999
183,29,11355,0.15,1.078776042,2,0.495847948,2.333333333,5.391351098,-2,9,4,8,-2,-3,999,9,999,999,-2,-3
183,30,12615,0,0.014322917,1,0.841991687,-4,4.5607017,-8,1,-9,-5,-5,2,-8,999,999,-5,-5,999
183,31,12653,0.9,1.130859375,2,0.067841545,-0.833333333,7.494442385,-5,3,-8,5,9,-9,999,3,999,5,9,999
183,32,12966,0.433333333,0.382161458,1,0.425624249,-1.333333333,5.680375574,-4,7,-4,3,-9,-1,-4,7,999,999,999,-1
